publishedAt,authorDisplayName,textDisplay,likeCount
2024-10-30T14:40:13Z,@a.r.silaen3081,"Hai pemilik akun fufufafa, segeralah mundur sebelum anda dimakzulkan. Dan bagi keluarganya, sadarlah dan minta saja anak ini segera mundur sebelum kalian dipermalukan rakyat.",0
2024-10-30T14:29:33Z,@yudhisasminto1800,Pemilik akun fufufafa harus di tindak tegas agar tidak menjadi duri dalam daging . Dan  akhirnya daging tersebut  akan  membusuk.<br>Indonesia akan jadi dilema di kemudian hari. Harus di tindak tegas dan tepat.,0
2024-10-30T14:10:21Z,@gojito-kun5062,Susah kali Pronounce fufufafa ya 😂,0
2024-10-30T13:59:07Z,@AuroraLesley,Jika Hukum dan aturan konstitusi Negara  sdh di kacangin dan di kangkangi oleh kekuasaan sprti saat ini ya jadinya kacau terus klw tdk ada ketegasan utk meluruskan kembali dan memproses pelaku2 yg membengkokkan haluannya..,0
2024-10-30T13:53:45Z,@firmanfly8713,Pretttttt,0
2024-10-30T13:47:16Z,@bambanghaditjiptono6205,JARKONI bisa ngajar ga bisa ngelakoni. Ngaca coy jangan merasa paling benar dan suci sendiri.,0
2024-10-30T13:44:14Z,@bambanghaditjiptono6205,Tobat coy dah tua.,0
2024-10-30T13:16:34Z,@indrasiregar1179,"Sebelum fufufafa d gandeng jd wakil<br>Mereka uda saling sepakat,,<br>Yg berkuasa itu fufu meskipun dia wakil,,<br>Paham y",0
2024-10-30T13:14:06Z,@Ernaaprillia-jt1wq,Hukum di per mainkan oleh Jokowi,0
2024-10-30T13:11:10Z,@Ernaaprillia-jt1wq,Pak polisi bukan takut sama tuhan TaPI takut sama jabatan hukum tupul ka atas tajam ka bawah,0
2024-10-30T13:02:28Z,@anindita775,Klw akun org miskin akunnya rakyat biasa sudah menjlekan org lain apa lg menghina melecehkan itu udh pasti akunnya di bekukan dan yg py akunnya udh pasti di tangkap itu sm polisii,0
